Point ID,density,Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
1962,1,3.05332e-05,0.019911,0.999802,1,-48,-20,-1.00829,52.0098,4.01208e-06,0.000193215,-4.72359e-08,0.000193256
2059,1,8.46334e-05,0.033377,0.999443,1,-48,-19,-1.03275,51.634,4.11396e-06,0.000196662,1.54959e-08,0.000196705
2156,1,0.000120127,0.0510096,0.998698,1,-48,-18,-1.07286,51.2752,4.12327e-06,0.000197668,1.51561e-06,0.000197717
2262,1,0.000150492,0.0574523,0.998348,1,-48,-17,-1.12992,50.934,2.9241e-06,0.00019459,6.87096e-06,0.000194734
2358,1,0.000174311,0.0468483,0.998902,1,-48,-16,-1.18049,50.6102,7.96482e-07,0.000187508,1.11266e-05,0.00018784
2446,1,0.0002106,0.0267909,0.999641,1,-48,-15,-1.21607,50.3039,8.28463e-06,0.000177734,1.42399e-05,0.000178496
2530,1,0.000190369,0.00415076,0.999991,1,-48,-14,-1.22929,50.0151,-1.99231e-06,0.000166547,1.48655e-05,0.000167221
2608,1,0.000205889,-0.0110487,0.999939,1,-48,-13,-1.22361,49.7443,7.50343e-06,0.000155371,1.27449e-05,0.000156073
2684,1,0.000177437,-0.0159631,0.999873,1,-48,-12,-1.20926,49.492,6.82491e-07,0.000144882,9.47791e-06,0.000145194
2775,1,0.000160857,-0.0137316,0.999906,1,-48,-11,-1.19457,49.2588,-2.45886e-06,0.000135194,6.3906e-06,0.000135367
2866,1,0.000166279,-0.00681645,0.999977,1,-48,-10,-1.18419,49.0449,2.29676e-06,0.000126217,3.41355e-06,0.000126284
2961,1,0.000169605,0.00215329,0.999998,1,-48,-9,-1.1821,48.8508,1.91946e-08,0.000117596,1.33783e-06,0.000117603
3054,1,0.000190386,0.010325,0.999947,1,-48,-8,-1.18814,48.6766,6.84079e-06,0.000108794,7.12776e-08,0.000109009
3149,1,0.000189944,0.0165146,0.999864,1,-48,-7,-1.20099,48.5226,3.48664e-06,9.92847e-05,-2.50504e-07,9.93462e-05
3240,1,0.000187336,0.0202692,0.999795,1,-48,-6,-1.21824,48.3889,-1.35138e-08,8.87595e-05,3.95618e-07,8.87603e-05
3332,1,0.000214556,0.022034,0.999757,1,-48,-5,-1.23777,48.2756,5.72222e-06,7.70217e-05,9.22969e-07,7.72395e-05
3423,1,0.000228772,0.0205098,0.99979,1,-48,-4,-1.25804,48.1828,8.2031e-06,6.38106e-05,2.75579e-06,6.43947e-05
3512,1,0.000215633,0.0158196,0.999875,1,-48,-3,-1.27464,48.1105,1.12924e-06,4.91726e-05,3.14316e-06,4.92859e-05
3601,1,0.000218347,0.0126425,0.99992,1,-48,-2,-1.28637,48.0589,4.25832e-06,3.37237e-05,3.24208e-06,3.41458e-05
3690,1,0.000204983,0.00847865,0.999964,1,-48,-1,-1.2972,48.0279,9.04572e-07,1.7474e-05,4.74427e-06,1.81292e-05
